name,nationality,fastestLapTime
Renault,French,01:16.8
"Force India",Indian,01:16.8
Honda,Japanese,01:16.8
Sauber,Swiss,01:16.8
Toyota,Japanese,01:16.8
Renault,French,01:16.9
"Toro Rosso",Italian,01:16.9
Ferrari,Italian,01:16.9
Ferrari,Italian,01:16.9
"Force India",Indian,01:16.9
Jordan,Irish,01:16.9
Ferrari,Italian,01:16.9
Ferrari,Italian,01:16.9
"BMW Sauber",German,01:16.9
McLaren,British,01:16.9
"Haas F1 Team",American,01:16.9
Williams,British,01:16.9
Jaguar,British,01:16.9
"Force India",Indian,01:16.9
"Toro Rosso",Italian,01:16.9
Toyota,Japanese,01:16.9
Ferrari,Italian,01:16.9
"Red Bull",Austrian,01:16.9
Williams,British,01:17.0
Ferrari,Italian,01:17.0
McLaren,British,01:17.0
Toyota,Japanese,01:17.0
Sauber,Swiss,01:17.0
Renault,French,01:17.0
Williams,British,01:17.0
Williams,British,01:17.0
"Toro Rosso",Italian,01:17.0
"Toro Rosso",Italian,01:17.0
Renault,French,01:17.0
Jordan,Irish,01:17.0
"Red Bull",Austrian,01:17.0
Renault,French,01:17.0
"Toro Rosso",Italian,01:17.0
McLaren,British,01:17.0
"BMW Sauber",German,01:17.0
Toyota,Japanese,01:17.0
Williams,British,01:17.0
Toyota,Japanese,01:17.1
Renault,French,01:17.1
Sauber,Swiss,01:17.1
Ferrari,Italian,01:17.1
Renault,French,01:17.1
Mercedes,German,01:17.1
Honda,Japanese,01:17.1
Toyota,Japanese,01:17.1
Ferrari,Italian,01:17.1
Mercedes,German,01:17.1
Renault,French,01:17.1
Sauber,Swiss,01:17.1
"Haas F1 Team",American,01:17.1
"Red Bull",Austrian,01:17.1
Sauber,Swiss,01:17.1
McLaren,British,01:17.1
Ferrari,Italian,01:17.1
Renault,French,01:17.2
Mercedes,German,01:17.2
Renault,French,01:17.2
"Lotus F1",British,01:17.2
"Force India",Indian,01:17.2
Renault,French,01:17.2
Williams,British,01:17.2
Williams,British,01:17.2
Ferrari,Italian,01:17.2
Williams,British,01:17.2
Lotus,Malaysian,01:17.2
"Toro Rosso",Italian,01:17.2
"Force India",Indian,01:17.2
